Time (s),Vr (km/s),Vn (km/s),V (km/s)
2530935.338345865,-0.4134506710003232,1.7890742705571165,1.836226620796054
2610027.0676691732,-0.4265952857692886,1.7912501385409854,1.8413474948155986
2689118.796992481,-0.43976092381038406,1.7934997055038244,1.8466268880726466
2768210.5263157897,-0.4529482709596726,1.795823618580648,1.8520649570729018
2847302.2556390977,-0.4661580174602924,1.7982225494655397,1.8576618730675547
2926393.984962406,-0.4793908580959428,1.800697194923713,1.8634178228814098
3005485.7142857146,-0.4926474923242525,1.8032482773261476,1.8693330097585859
3084577.4436090225,-0.5059286244099512,1.8058765452075836,1.8754076542256681
3163669.172932331,-0.5192349635577571,1.8085827738486981,1.881641994972231
3242760.9022556394,-0.5325672240448704,1.8113677658833167,1.8880362897486842
3321852.6315789474,-0.5459261253529728,1.8142323519315817,1.8945908162814757
3400944.360902256,-0.5593123922996004,1.817177391260015,1.901305873205691
3480036.0902255643,-0.5727267551687604,1.8202037724694984,1.9081817810151973
3559127.8195488723,-0.5861699498406353,1.8233124142122024,1.9152188830304757
3638219.5488721807,-0.5996427179202161,1.826504265938595,1.9224175463844033
3717311.2781954887,-0.6131458068646755,1.8297803086756794,1.929778163026258
3796403.007518797,-0.6266799701092927,1.8331415558376913,1.9373011507443068
3875494.7368421056,-0.6402459671917012,1.8365890540705465,1.9449869542074008
3954586.4661654136,-0.6538445638742308,1.8401238841313816,1.9528360460260472
4033678.195488722,-0.6674765322640801,1.843747161804626,1.9608489278335277
4112769.92481203,-0.6811426509310359,1.8474600388560882,1.9690261313876711
4191861.6541353385,-0.6948437050224342,1.8512637040266393,1.977368219693979
4270953.383458647,-0.7085804863750225,1.8551593840671392,1.985875788150868
4350045.112781955,-0.7223537936233573,1.8591483448163564,1.9945494657178733
4429136.842105264,-0.7361644323043444,1.8632318923237052,2.003389916107734
4508228.571428572,-0.7500132149574786,1.8674113740187286,2.012397839003354
4587320.30075188,-0.7639009612203225,1.871688179929358,2.02157397130073
4666412.030075188,-0.7778284979187033,1.8760637439510752,2.030919088379001
4745503.759398497,-0.7917966591510793,1.8805395451692346,2.040434005398881
4824595.488721805,-0.8058062863664673,1.8851171092368997,2.050119578630818
4903687.218045113,-0.8198582284352828,1.8897980098106932,2.0599767068143024
4982778.947368422,-0.8339533417123709,1.8945838700472784,2.0700063325498674
5061870.67669173,-0.8480924900914711,1.8994763641632402,2.080209443725404
5140962.406015038,-0.8622765450502707,1.9044772190612764,2.0905870749785107
5220054.1353383465,-0.8765063856851396,1.9095882160257738,2.1011403091967287
5299145.864661654,-0.890782898734567,1.914811192490998,2.1118702790575834
5378237.593984962,-0.9051069785902337,1.920148043885322,2.122778168610505
5457329.323308271,-0.9194795272945588,1.9256007255550847,2.1338652149027815
5536421.052631579,-0.9339014545234672,1.9311712547718827,2.1451327096518424
5615512.781954887,-0.9483736775530288,1.936861712827309,2.156582000966296
5694604.511278195,-0.9628971212084736,1.9426742472193619,2.168214495118248
5773696.240601504,-0.9774727177940069,1.9486110739349998,2.1800316583696016
5852787.969924812,-0.9921014070016739,1.954674479833564,2.192035018855154
5931879.69924812,-1.006784135797402,1.9608668251360495,2.2042261685254654
6010971.428571429,-1.0215218582821726,1.967190546025497,2.2166067651526187
6090063.157894737,-1.0363155355261187,1.9736481573640792,2.229178534402171
6169154.887218045,-1.051166135373141,1.9802422555327661,2.2419432719747396
6248246.616541354,-1.066074632213434,1.9869755213998037,2.254902845820864
6327338.345864662,-1.0810420067211004,1.9938507234245892,2.268059198432956
6406430.07518797,-1.0960692455537777,2.0008707209039263,2.2814143492183585
6485521.804511279,-1.1111573410109485,2.0080384673680327,2.294970396957721
6564613.533834587,-1.1263072906473017,2.0153570141341217,2.308729522353121
6643705.263157895,-1.1415200968372285,2.0228295140258394,2.322693990670594
6722796.992481204,-1.1567967662861602,2.0304592252673213,2.3368661544819562
6801888.721804512,-1.1721383094841142,2.0382495155611635,2.3512484565110503
6880980.45112782,-1.1875457400963907,2.0462038663601723,2.3658434325898243
6960072.180451129,-1.203020074285929,2.054325877343325,2.380653714729915
7039163.909774437,-1.2185623299613437,2.062619271107033,2.3956820343156826
7118255.639097745,-1.2341735259441393,2.0710878980834595,2.410931225424971
7197347.368421053,-1.249854681048022,2.0797357416983724,2.4264042282841767
7276439.0977443615,-1.2656068130625948,2.0885669237817694,2.4421040928645326
7355530.8270676695,-1.2814309376330408,2.097585710245348,2.458033982626883
7434622.556390977,-1.2973280670266383,2.10679651704175,2.4741971784225933
7513714.285714286,-1.3132992087761122,2.116203916421446,2.4905970825586037
7592806.015037594,-1.3293453641889745,2.125812643504138,2.5072372230351014
7671897.744360902,-1.345467526710929,2.135627603182582,2.5241212579646413
7750989.473684211,-1.3616666801304038,2.1456538773779044,2.541252980182058
7830081.203007519,-1.3779437966100456,2.1558967326666623,2.558636322054953
7909172.932330827,-1.394299834529707,2.166361628301215,2.5762753605050563
7988264.661654136,-1.4107357361240123,2.1770542246463287,2.5941743222512605
8067356.390977444,-1.4272524248960157,2.1879803920564136,2.6123375892856755
8146448.120300752,-1.4438508027867205,2.1991462202193697,2.6307697045946457
8225539.84962406,-1.4605317470783163,2.2105580279946824,2.6494753781372227
8304631.578947369,-1.4772961070068693,2.222222373775185,2.6684594930942214
8383723.308270677,-1.4941447000579122,2.234146066403847,2.6877271124016535
8462815.037593985,-1.5110783079157737,2.246336176678923,2.7072834855829337
